Sport,Discipline
Aquatics,Diving
Aquatics,Swimming
Aquatics,Synchronized S.
Aquatics,Water polo
Archery,Archery
Athletics,Athletics
Badminton,Badminton
Baseball,Baseball
Basketball,Basketball
Basque Pelota,Basque Pelota
Boxing,Boxing
Canoe / Kayak,Canoe / Kayak F
Canoe / Kayak,Canoe / Kayak S
Cricket,Cricket
Croquet,Croquet
Cycling,BMX
Cycling,Cycling Road
Cycling,Cycling Track
Cycling,Mountain Bike
Equestrian,Dressage
Equestrian,Eventing
Equestrian,Jumping
Equestrian,Vaulting
Fencing,Fencing
Football,Football
Golf,Golf
Gymnastics,Artistic G.
Gymnastics,Rhythmic G.
Gymnastics,Trampoline
Handball,Handball
Hockey,Hockey
Ice Hockey,Ice Hockey
Jeu de paume,Jeu de Paume
Judo,Judo
Lacrosse,Lacrosse
Modern Pentathlon,Modern Pentath.
Polo,Polo
Rackets,Rackets
Roque,Roque
Rowing,Rowing
Rugby,Rugby
Sailing,Sailing
Shooting,Shooting
Skating,Figure skating
Softball,Softball
Table Tennis,Table Tennis
Taekwondo,Taekwondo
Tennis,Tennis
Triathlon,Triathlon
Tug of War,Tug of War
Volleyball,Beach volley.
Volleyball,Beach Volley.
Volleyball,Volleyball
Water Motorsports,Water Motorspor
Weightlifting,Weightlifting
Wrestling,Wrestling Free.
Wrestling,Wrestling Gre-R
